invoice_id,deal_id,invoice_type,invoice_date,invoice_due_date,paid_date,invoice_status,dunning_status,invoice_amount,delay_in_days,delay_bool,invoice_month,due_day,customer_id,deal_term,deal_monthly_amount,deal_signed_date,deal_deposit_amount,schufa_score,postal_code,date_of_birth,loyalty_status,schufa_group,deposit,deal_term_group,deal_monthly_amount_group,invoice_amount_group,age,age_group,due_day_group
in_1O7arpHfRoBp5g8KovQ9iGnr,7986885156,monthly,2023-11-01,2023-11-08,2023-11-06,paid,,694.83,-2.0,False,11,8,183529651.0,24,689.0,22/02/2022,0.0,9854.0,89077.0,1965-08-20,platinum,"9,750 - 10000",False,19 - 24,500 - 999,500 - 999,58.0,50-59,8-12
in_1O7asMDOkQuZ6Q4M9XW1xspO,10536889095,final,2023-11-01,2023-12-01,2023-12-05,paid,successfull,650.0,4.0,True,11,1,308832701.0,12,379.0,12/10/2022,0.0,,79104.0,1953-09-24,gold,,False,7 - 12,0 - 499,500 - 999,70.0,70-79,1-2
in_1O7ayqHfRoBp5g8KKRtSD8nX,13910350464,monthly,2023-11-01,2023-11-08,2023-11-06,paid,,439.0,-2.0,False,11,8,457915301.0,12,439.0,29/06/2023,0.0,,,1979-10-30,gold,,False,7 - 12,0 - 499,0 - 499,44.0,40-49,8-12
in_1O7ck9HfRoBp5g8KSMeEPHWy,13643085321,monthly,2023-11-01,2023-11-08,2023-11-06,paid,,439.0,-2.0,False,11,8,374139701.0,12,439.0,09/06/2023,0.0,9981.0,50389.0,1957-12-15,gold,"9,750 - 10000",False,7 - 12,0 - 499,0 - 499,65.0,60-69,8-12
in_1O7egEDOkQuZ6Q4Mvx1fV1Xu,14286850389,monthly,2023-11-01,2023-11-08,2023-11-16,paid,successfull,529.0,8.0,True,11,8,271813951.0,13,529.0,23/07/2023,0.0,8414.0,87700.0,1980-11-14,gold,"8,000 - 8,499",False,13 - 18,500 - 999,500 - 999,42.0,40-49,8-12
in_1O7ffXDOkQuZ6Q4MHC0rFGhN,14197301514,monthly,2023-11-01,2023-11-08,2023-11-06,paid,,348.0,-2.0,False,11,8,464699901.0,24,348.0,18/07/2023,0.0,9785.0,84186.0,1986-06-29,gold,"9,750 - 10000",False,19 - 24,0 - 499,0 - 499,37.0,30-39,8-12
in_1O7fjHHfRoBp5g8KsbdL8bw1,13410610956,monthly,2023-11-01,2023-11-08,2023-11-06,paid,,620.1,-2.0,False,11,8,89771051.0,12,620.1,22/05/2023,0.0,9901.0,51503.0,1972-05-30,platinum,"9,750 - 10000",False,7 - 12,500 - 999,500 - 999,51.0,50-59,8-12
in_1O7g35DOkQuZ6Q4M3a1snvvh,14208521031,monthly,2023-11-01,2023-11-08,2023-11-06,paid,,1078.0,-2.0,False,11,8,453380301.0,13,1078.0,18/07/2023,0.0,,,1998-01-20,gold,,False,13 - 18,"1,000 - 1,499","1,000 - 1,499",25.0,20-29,8-12
in_1O7mTBDOkQuZ6Q4MpOdb4IDF,12543274935,monthly,2023-11-02,2023-11-09,2023-11-06,paid,,548.0,-3.0,False,11,9,402071501.0,12,548.0,15/03/2023,0.0,9419.0,68766.0,1999-02-07,gold,"9,250 - 9,499",False,7 - 12,500 - 999,500 - 999,24.0,20-29,8-12
in_1O7mTIDOkQuZ6Q4MELvHVDg5,13292007777,monthly,2023-11-02,2023-11-09,2023-11-02,paid,,429.0,-7.0,False,11,9,440564801.0,12,429.0,10/05/2023,0.0,8827.0,85540.0,1983-09-10,gold,"8,500 - 8,999",False,7 - 12,0 - 499,0 - 499,40.0,40-49,8-12
